Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-start-paper-v2-30-7680-64, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_000.nc, 187K ,188
, true.x0_001.nc, 187K ,188
, true.x0_002.nc, 187K ,188
, true.x0_003.nc, 187K ,188
, true.x0_004.nc, 187K ,188
, true.x0_005.nc, 187K ,188
, true.x0_006.nc, 187K ,188
, true.x0_007.nc, 187K ,188
, true.x0_008.nc, 187K ,188
, true.x0_009.nc, 187K ,188
, true.x0_010.nc, 187K ,188
, true.x0_011.nc, 187K ,188
, true.x0_012.nc, 187K ,188
, true.x0_013.nc, 187K ,188
, true.x0_014.nc, 187K ,188
, true.x0_015.nc, 187K ,188
, true.x0_016.nc, 187K ,188
, true.x0_017.nc, 187K ,188
, true.x0_018.nc, 187K ,188
, true.x0_019.nc, 187K ,188
, true.x0_020.nc, 187K ,188
, true.x0_021.nc, 187K ,188
, true.x0_022.nc, 187K ,188
, true.x0_023.nc, 187K ,188
, true.x0_024.nc, 187K ,188
, true.x0_025.nc, 187K ,188
, true.x0_026.nc, 187K ,188
, true.x0_027.nc, 187K ,188
, true.x0_028.nc, 187K ,188
, true.x0_029.nc, 187K ,188
, true.x0_030.nc, 187K ,188
, true.x0_031.nc, 187K ,188
, true.x0_032.nc, 187K ,188
, true.x0_033.nc, 187K ,188
, true.x0_034.nc, 187K ,188
, true.x0_035.nc, 187K ,188
, true.x0_036.nc, 187K ,188
, true.x0_037.nc, 187K ,188
, true.x0_038.nc, 187K ,188
, true.x0_039.nc, 187K ,188
, true.x0_040.nc, 187K ,188
, true.x0_041.nc, 187K ,188
, true.x0_042.nc, 187K ,188
, true.x0_043.nc, 187K ,188
, true.x0_044.nc, 187K ,188
, true.x0_045.nc, 187K ,188
, true.x0_046.nc, 187K ,188
, true.x0_047.nc, 187K ,188
, true.x0_048.nc, 187K ,188
, true.x0_049.nc, 187K ,188
, true.x0_050.nc, 187K ,188
, true.x0_051.nc, 187K ,188
, true.x0_052.nc, 187K ,188
, true.x0_053.nc, 187K ,188
, true.x0_054.nc, 187K ,188
, true.x0_055.nc, 187K ,188
, true.x0_056.nc, 187K ,188
, true.x0_057.nc, 187K ,188
, true.x0_058.nc, 187K ,188
, true.x0_059.nc, 187K ,188
, true.x0_060.nc, 187K ,188
, true.x0_061.nc, 187K ,188
, true.x0_062.nc, 187K ,188
, true.x0_063.nc, 187K ,188
, true.x0_064.nc, 187K ,188
, true.x0_065.nc, 187K ,188
, true.x0_066.nc, 187K ,188
, true.x0_067.nc, 187K ,188
, true.x0_068.nc, 187K ,188
, true.x0_069.nc, 187K ,188
, true.x0_070.nc, 187K ,188
, true.x0_071.nc, 187K ,188
, true.x0_072.nc, 187K ,188
, true.x0_073.nc, 187K ,188
, true.x0_074.nc, 187K ,188
, true.x0_075.nc, 187K ,188
, true.x0_076.nc, 187K ,188
, true.x0_077.nc, 187K ,188
, true.x0_078.nc, 187K ,188
, true.x0_079.nc, 187K ,188
, true.x0_080.nc, 187K ,188
, true.x0_081.nc, 187K ,188
, true.x0_082.nc, 187K ,188
, true.x0_083.nc, 187K ,188
, true.x0_084.nc, 187K ,188
, true.x0_085.nc, 187K ,188
, true.x0_086.nc, 187K ,188
, true.x0_087.nc, 187K ,188
, true.x0_088.nc, 187K ,188
, true.x0_089.nc, 187K ,188
, true.x0_090.nc, 187K ,188
, true.x0_091.nc, 187K ,188
, true.x0_092.nc, 187K ,188
, true.x0_093.nc, 187K ,188
, true.x0_094.nc, 187K ,188
, true.x0_095.nc, 187K ,188
, true.x0_096.nc, 187K ,188
, true.x0_097.nc, 187K ,188
, true.x0_098.nc, 187K ,188
, true.x0_099.nc, 187K ,188
, true.x0_100.nc, 187K ,188
, true.x0_101.nc, 187K ,188
, true.x0_102.nc, 187K ,188
, true.x0_103.nc, 187K ,188
, true.x0_104.nc, 187K ,188
