Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-00,,,
u-ch427-n1280-x-orig-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-01,,,
u-ch427-n1280-x-orig-01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-02,,,
u-ch427-n1280-x-orig-02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-03,,,
u-ch427-n1280-x-orig-03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-04,,,
u-ch427-n1280-x-orig-04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-05,,,
u-ch427-n1280-x-orig-05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-06,,,
u-ch427-n1280-x-orig-06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-07,,,
u-ch427-n1280-x-orig-07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-08,,,
u-ch427-n1280-x-orig-08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-orig-09,,,
u-ch427-n1280-x-orig-09,,Total Size,0

